Firm,Year,Metric,Value
Firm 1,2016,NWP (£m),-13779.81562850132
Firm 1,2017,NWP (£m),0.0
Firm 1,2018,NWP (£m),0.0
Firm 1,2019,NWP (£m),0.0
Firm 1,2020,NWP (£m),0.0
Firm 1,2016,SCR (£m),1085.360138661888
Firm 1,2017,SCR (£m),9.63584e-09
Firm 1,2018,SCR (£m),0.0
Firm 1,2019,SCR (£m),0.0
Firm 1,2020,SCR (£m),0.0
Firm 1,2016,EoF for SCR (£m),2230.0767017500675
Firm 1,2017,EoF for SCR (£m),4.81792
Firm 1,2018,EoF for SCR (£m),0.0
Firm 1,2019,EoF for SCR (£m),0.0
Firm 1,2020,EoF for SCR (£m),0.0
Firm 1,2016,SCR coverage ratio,1.979864702999336
Firm 1,2017,SCR coverage ratio,481792000.0
Firm 1,2018,SCR coverage ratio,0.0
Firm 1,2019,SCR coverage ratio,0.0
Firm 1,2020,SCR coverage ratio,0.0
Firm 1,2016,GWP (£m),1409.484796075008
Firm 1,2017,GWP (£m),0.0
Firm 1,2018,GWP (£m),0.0
Firm 1,2019,GWP (£m),0.0
Firm 1,2020,GWP (£m),0.0
Firm 1,2016,Total assets (£m),71727.59306552948
Firm 1,2017,Total assets (£m),4.81792
Firm 1,2018,Total assets (£m),0.0
Firm 1,2019,Total assets (£m),0.0
Firm 1,2020,Total assets (£m),0.0
Firm 1,2016,Total liabilities (£m),69696.55712847342
Firm 1,2017,Total liabilities (£m),0.0
Firm 1,2018,Total liabilities (£m),0.0
Firm 1,2019,Total liabilities (£m),0.0
Firm 1,2020,Total liabilities (£m),0.0
Firm 1,2016,Excess of assets over liabilities (£m) [= equity],2031.0359370560511
Firm 1,2017,Excess of assets over liabilities (£m) [= equity],4.81792
Firm 1,2018,Excess of assets over liabilities (£m) [= equity],0.0
Firm 1,2019,Excess of assets over liabilities (£m) [= equity],0.0
Firm 1,2020,Excess of assets over liabilities (£m) [= equity],0.0
Firm 1,2016,Gross claims incurred (£m),0.0
Firm 1,2017,Gross claims incurred (£m),0.04667392158
Firm 1,2018,Gross claims incurred (£m),0.0
Firm 1,2019,Gross claims incurred (£m),0.0
Firm 1,2020,Gross claims incurred (£m),0.0
Firm 1,2016,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",0.0
Firm 1,2017,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",7.674468411620701
Firm 1,2018,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",0.0
Firm 1,2019,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",0.0
Firm 1,2020,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",0.0
Firm 1,2016,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",0.0
Firm 1,2017,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",7.674468411620701
Firm 1,2018,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",0.0
Firm 1,2019,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",0.0
Firm 1,2020,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",0.0
Firm 1,2016,Pure net claims ratio,0.0
Firm 1,2017,Pure net claims ratio,11.401513945955454
Firm 1,2018,Pure net claims ratio,0.0
Firm 1,2019,Pure net claims ratio,0.0
Firm 1,2020,Pure net claims ratio,0.0
Firm 1,2016,Net expense ratio,0.0
Firm 1,2017,Net expense ratio,56.81372458020451
Firm 1,2018,Net expense ratio,0.0
Firm 1,2019,Net expense ratio,0.0
Firm 1,2020,Net expense ratio,0.0
Firm 1,2016,Net combined ratio,0.0
Firm 1,2017,Net combined ratio,68.21523852615996
Firm 1,2018,Net combined ratio,0.0
Firm 1,2019,Net combined ratio,0.0
Firm 1,2020,Net combined ratio,0.0
Firm 1,2016,Pure gross claims ratio,0.0
Firm 1,2017,Pure gross claims ratio,11.401513945955454
Firm 1,2018,Pure gross claims ratio,0.0
Firm 1,2019,Pure gross claims ratio,0.0
Firm 1,2020,Pure gross claims ratio,0.0
Firm 1,2016,Gross expense ratio,0.0
Firm 1,2017,Gross expense ratio,56.81372458020451
Firm 1,2018,Gross expense ratio,0.0
