Firm,NWP (£m)_mean,NWP (£m)_std,NWP (£m)_count,EoF for SCR (£m)_mean,EoF for SCR (£m)_std,Total liabilities (£m)_mean,Excess of assets over liabilities (£m) [= equity]_mean,NWP_mean,NWP_std,NWP_count,NWP_cv,SCR_mean,SCR_std,Liabilities_mean,Equity_mean,size_metric,size_rank,vol_rank,outlier_total,size_norm,vol_norm,outlier_norm,attention_score,attention_rank
Firm 314,0.0,0.0,5,2.199530478191985,2.0164289307066725,0.00169665943552,2.199530454025298,0.0,0.0,5,0.0,2.199530478191985,2.0164289307066725,0.00169665943552,2.199530454025298,0.001695221734862471,226.0,227.0,0,0.9999999999955556,0.9999999999955753,0.0,0.7999999999964513,1.0
Firm 102,0.0,0.0,5,1.8472560517120002,4.130590103475899,0.0073427027968000005,1.8472560517120002,0.0,0.0,5,0.0,1.8472560517120002,4.130590103475899,0.0073427027968000005,1.8472560517120002,0.007315876393450434,225.0,227.0,0,0.995555555551131,0.9999999999955753,0.0,0.7979999999964602,2.0
Firm 83,0.0,0.0,5,27.621874236211198,1.5305764923453844,0.0199668094976,27.621874236211198,0.0,0.0,5,0.0,27.621874236211198,1.5305764923453844,0.0199668094976,27.621874236211198,0.019770087058516628,224.0,227.0,0,0.9911111111067062,0.9999999999955753,0.0,0.7959999999964691,3.0
Firm 18,0.0,0.0,5,4.975883886526464,2.781823153127778,0.12694894472192,4.975883886526464,0.0,0.0,5,0.0,4.975883886526464,2.781823153127778,0.12694894472192,4.975883886526464,0.1195139320988404,223.0,227.0,0,0.9866666666622815,0.9999999999955753,0.0,0.793999999996478,4.0
Firm 127,0.0,0.0,5,0.1431070631936,0.08072726180227614,0.180539025408,0.184278694912,0.0,0.0,5,0.0,0.1431070631936,0.08072726180227614,0.180539025408,0.184278694912,0.16597113536889094,222.0,227.0,0,0.9822222222178568,0.9999999999955753,0.0,0.7919999999964868,5.0
Firm 94,0.0,0.0,5,12.50184403847815,0.43317806824264415,0.3965730249338676,12.501844038073447,0.0,0.0,5,0.0,12.50184403847815,0.43317806824264415,0.3965730249338676,12.501844038073447,0.33402139643148415,218.0,227.0,0,0.9644444444401581,0.9999999999955753,0.0,0.7839999999965225,6.0
Firm 84,0.0,0.0,5,0.32872322738262016,0.735047482210659,0.4260087880615936,0.32872322738262016,0.0,0.0,5,0.0,0.32872322738262016,0.735047482210659,0.4260087880615936,0.32872322738262016,0.354879484709155,217.0,227.0,0,0.9599999999957334,0.9999999999955753,0.0,0.7819999999965314,7.0
Firm 270,0.0,0.0,5,3.6372702601157427,2.1994343072247693,0.4652545733547212,3.6372702601157427,0.0,0.0,5,0.0,3.6372702601157427,2.1994343072247693,0.4652545733547212,3.6372702601157427,0.38202899758073766,216.0,227.0,0,0.9555555555513087,0.9999999999955753,0.0,0.7799999999965402,8.0
Firm 291,0.0,0.0,5,6.742852544862208,3.9689289986257443,0.664874461263872,6.742852541007872,0.0,0.0,5,0.0,6.742852544862208,3.9689289986257443,0.664874461263872,6.742852541007872,0.5097497219494697,213.0,227.0,0,0.9422222222180346,0.9999999999955753,0.0,0.773999999996567,9.0
Firm 217,0.0,0.0,5,68.51686183063416,62.601804525345294,0.8801843175851827,68.51686183063416,0.0,0.0,5,0.0,68.51686183063416,62.601804525345294,0.8801843175851827,68.51686183063416,0.631369813304841,212.0,227.0,0,0.9377777777736099,0.9999999999955753,0.0,0.7719999999965759,10.0
Firm 271,0.0,0.0,5,3.5966571924493516,0.14793907558064778,1.2087697105013553,3.5966576722370966,0.0,0.0,5,0.0,3.5966571924493516,0.14793907558064778,1.2087697105013553,3.5966576722370966,0.7924356684382589,210.0,227.0,0,0.9288888888847605,0.9999999999955753,0.0,0.7679999999965936,11.0
Firm 300,0.0,0.0,5,12.321699545292798,0.2027451701487622,1.3076719450112002,12.321699545292798,0.0,0.0,5,0.0,12.321699545292798,0.2027451701487622,1.3076719450112002,12.321699545292798,0.8362392003332085,209.0,227.0,0,0.9244444444403358,0.9999999999955753,0.0,0.7659999999966025,12.0
Firm 224,0.0,0.0,5,2.8724765881718577,0.8082664844337482,1.689917066734776,2.872476588730737,0.0,0.0,5,0.0,2.8724765881718577,0.8082664844337482,1.689917066734776,2.872476588730737,0.9895103629283666,208.0,227.0,0,0.9199999999959112,0.9999999999955753,0.0,0.7639999999966114,13.0
